id;type;x;y
0x0000016251BA6D88;char_line;[0.01, 0.04, 0.07, 0.11, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.5, 2.0];[0.018, 0.075, 0.134, 0.215, 0.3, 0.412, 0.507, 0.564, 0.614, 0.66, 0.701, 0.739, 0.774, 0.806, 0.836, 0.864, 0.89, 0.915, 0.938, 0.96, 0.981, 1.0, 1.151, 1.253]
0x00000162517F3FC8;char_line;[0.0, 0.0001, 0.001, 0.01, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 2.0];[0.025, 0.05, 0.1, 0.2, 0.4, 0.85, 0.89, 0.92, 0.945, 0.965, 0.98, 0.99, 0.995, 1.0, 1.05]
0x000001624E9E2348;char_line;[0.01, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.5, 2.0];[0.03, 0.158, 0.344, 0.567, 0.838, 0.888, 0.906, 0.921, 0.933, 0.943, 0.952, 0.959, 0.966, 0.972, 0.977, 0.982, 0.986, 0.99, 0.994, 0.997, 1.0, 1.021, 1.033]
0x0000016251661788;char_line;[0.01, 0.04, 0.07, 0.11, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.5, 2.0];[0.019, 0.075, 0.134, 0.192, 0.243, 0.303, 0.359, 0.412, 0.463, 0.512, 0.559, 0.604, 0.648, 0.691, 0.733, 0.774, 0.813, 0.852, 0.89, 0.928, 0.964, 1.0, 1.327, 1.612]
0x000001624E9E2AC8;char_line;[0.01, 0.04, 0.07, 0.11, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.5, 2.0];[0.019, 0.075, 0.134, 0.192, 0.243, 0.303, 0.359, 0.412, 0.463, 0.512, 0.559, 0.604, 0.648, 0.691, 0.733, 0.774, 0.813, 0.852, 0.89, 0.928, 0.964, 1.0, 1.327, 1.612]
0x00000162517F3988;char_line;[0.0, 0.0625, 0.125, 0.1875, 0.25, 0.3125, 0.375, 0.4375, 0.5, 0.5625, 0.6375, 0.7125, 0.7875, 0.9, 0.9875, 1.0, 1.0625, 1.125, 1.175, 1.2125, 1.2375, 1.25, 1.5];[0.008, 0.139, 0.273, 0.4, 0.519, 0.626, 0.722, 0.806, 0.875, 0.931, 0.973, 1.001, 1.02, 1.016, 1.005, 1.0, 0.975, 0.929, 0.883, 0.838, 0.784, 0.761, 0.2]
0x00000162517F3848;char_line;[0.0, 0.0625, 0.125, 0.1875, 0.25, 0.3125, 0.375, 0.4375, 0.5, 0.5625, 0.6375, 0.7125, 0.7875, 0.9, 0.9875, 1.0, 1.0625, 1.125, 1.175, 1.2125, 1.2375, 1.25, 1.5];[0.008, 0.139, 0.273, 0.4, 0.519, 0.626, 0.722, 0.806, 0.875, 0.931, 0.973, 1.001, 1.02, 1.016, 1.005, 1.0, 0.975, 0.929, 0.883, 0.838, 0.784, 0.761, 0.2]
0x0000016251B24CC8;char_line;[0, 1];[1, 1]
0x000001624FA80C48;char_line;[0, 1];[1, 1]
0x00000162518BFB48;char_line;[0, 1];[1, 1]
0x000001625182BB08;char_line;[0.1, 0.345, 0.359, 0.383, 0.41, 0.432, 0.451, 0.504, 0.541, 0.6, 0.684, 0.805, 1.0, 1.7, 10.0];[0.960384, 0.9731759999999999, 0.97416, 0.975144, 0.976128, 0.977112, 0.978096, 0.97908, 0.9800639999999999, 0.981048, 0.982032, 0.983016, 0.984, 0.983016, 0.97416]
0x0000016251B89F88;char_line;[0, 3];[1, 1]
0x0000016251BAC188;char_line;[0.0, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.05, 1.1, 1.15, 1.2, 10.0];[103.09278350515464, 3.2748660579782287, 1.9284097176422492, 1.5065436724412486, 1.315798130250857, 1.2161470273110138, 1.1603014463157528, 1.1273131055785088, 1.1063831670439435, 1.0917376205141867, 1.0799579248392484, 1.0696491336911667, 1.0601890529119151, 1.0513235111682098, 1.0436604930669633, 1.0373594637266517, 1.0327868513840377, 1.030000834300676, 1.0288700948618228, 1.0293837594124278, 1.0309278350515465, 1.0333044352526275, 1.0364208656394354, 1.0403954334963634, 1.0463085710459215, 1.0689836531019767]
0x000001625182B1C8;char_line;[0.1, 0.345, 0.359, 0.383, 0.41, 0.432, 0.451, 0.504, 0.541, 0.6, 0.684, 0.805, 1.0, 1.7, 10.0];[0.960384, 0.9731759999999999, 0.97416, 0.975144, 0.976128, 0.977112, 0.978096, 0.97908, 0.9800639999999999, 0.981048, 0.982032, 0.983016, 0.984, 0.983016, 0.97416]
0x0000016251BA6288;char_line;[0.0, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.05, 1.1, 1.15, 1.2, 10.0];[103.09278350515464, 3.2748660579782287, 1.9284097176422492, 1.5065436724412486, 1.315798130250857, 1.2161470273110138, 1.1603014463157528, 1.1273131055785088, 1.1063831670439435, 1.0917376205141867, 1.0799579248392484, 1.0696491336911667, 1.0601890529119151, 1.0513235111682098, 1.0436604930669633, 1.0373594637266517, 1.0327868513840377, 1.030000834300676, 1.0288700948618228, 1.0293837594124278, 1.0309278350515465, 1.0333044352526275, 1.0364208656394354, 1.0403954334963634, 1.0463085710459215, 1.0689836531019767]
0x000001625182BAC8;char_line;[0.1, 0.345, 0.359, 0.383, 0.41, 0.432, 0.451, 0.504, 0.541, 0.6, 0.684, 0.805, 1.0, 1.7, 10.0];[0.960384, 0.9731759999999999, 0.97416, 0.975144, 0.976128, 0.977112, 0.978096, 0.97908, 0.9800639999999999, 0.981048, 0.982032, 0.983016, 0.984, 0.983016, 0.97416]
0x0000016251BA61C8;char_line;[0.0, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.05, 1.1, 1.15, 1.2, 10.0];[103.09278350515464, 3.2748660579782287, 1.9284097176422492, 1.5065436724412486, 1.315798130250857, 1.2161470273110138, 1.1603014463157528, 1.1273131055785088, 1.1063831670439435, 1.0917376205141867, 1.0799579248392484, 1.0696491336911667, 1.0601890529119151, 1.0513235111682098, 1.0436604930669633, 1.0373594637266517, 1.0327868513840377, 1.030000834300676, 1.0288700948618228, 1.0293837594124278, 1.0309278350515465, 1.0333044352526275, 1.0364208656394354, 1.0403954334963634, 1.0463085710459215, 1.0689836531019767]
0x000001625182BF88;char_line;[0, 3];[1, 1]
0x000001625182BBC8;char_line;[0, 3];[1, 1]
0x000001625182B9C8;char_line;[0, 3];[1, 1]
0x000001625182B5C8;char_line;[0, 3];[1, 1]
