;WOZ;Global;Direkt;Diffus
319968;2016-08-01 01:00:00;0.0;0.0;0.0
319969;2016-08-01 02:00:00;0.0;0.0;0.0
319970;2016-08-01 03:00:00;0.0;0.0;0.0
319971;2016-08-01 04:00:00;0.0;0.0;0.0
319972;2016-08-01 05:00:00;19.444444444444446;2.7777777777777786;16.666666666666668
319973;2016-08-01 06:00:00;52.77777777777778;0.0;52.77777777777778
319974;2016-08-01 07:00:00;136.11111111111111;11.111111111111114;125.0
319975;2016-08-01 08:00:00;325.0;150.0;175.0
319976;2016-08-01 09:00:00;263.8888888888889;38.888888888888914;225.0
319977;2016-08-01 10:00:00;430.5555555555556;158.33333333333337;272.22222222222223
319978;2016-08-01 11:00:00;619.4444444444445;438.8888888888889;180.55555555555557
319979;2016-08-01 12:00:00;419.44444444444446;211.11111111111111;208.33333333333334
319980;2016-08-01 13:00:00;513.8888888888889;305.55555555555554;208.33333333333334
319981;2016-08-01 14:00:00;391.6666666666667;175.0;216.66666666666669
319982;2016-08-01 15:00:00;544.4444444444445;402.77777777777777;141.66666666666669
319983;2016-08-01 16:00:00;458.33333333333337;263.8888888888889;194.44444444444446
319984;2016-08-01 17:00:00;388.8888888888889;277.7777777777778;111.11111111111111
319985;2016-08-01 18:00:00;230.55555555555557;136.11111111111114;94.44444444444444
319986;2016-08-01 19:00:00;105.55555555555556;50.0;55.55555555555556
319987;2016-08-01 20:00:00;13.88888888888889;2.7777777777777786;11.11111111111111
319988;2016-08-01 21:00:00;0.0;0.0;0.0
319989;2016-08-01 22:00:00;0.0;0.0;0.0
319990;2016-08-01 23:00:00;0.0;0.0;0.0
319991;2016-08-02 00:00:00;0.0;0.0;0.0
319992;2016-08-02 01:00:00;0.0;0.0;0.0
319993;2016-08-02 02:00:00;0.0;0.0;0.0
319994;2016-08-02 03:00:00;0.0;0.0;0.0
319995;2016-08-02 04:00:00;0.0;0.0;0.0
319996;2016-08-02 05:00:00;11.11111111111111;0.0;11.11111111111111
319997;2016-08-02 06:00:00;38.88888888888889;0.0;38.88888888888889
319998;2016-08-02 07:00:00;161.11111111111111;52.77777777777777;108.33333333333334
319999;2016-08-02 08:00:00;291.6666666666667;66.66666666666669;225.0
320000;2016-08-02 09:00:00;433.33333333333337;200.00000000000003;233.33333333333334
320001;2016-08-02 10:00:00;236.11111111111111;22.22222222222223;213.88888888888889
320002;2016-08-02 11:00:00;708.3333333333334;583.3333333333334;125.0
320003;2016-08-02 12:00:00;411.11111111111114;113.88888888888891;297.22222222222223
320004;2016-08-02 13:00:00;675.0;408.3333333333333;266.6666666666667
320005;2016-08-02 14:00:00;372.22222222222223;141.66666666666666;230.55555555555557
320006;2016-08-02 15:00:00;444.44444444444446;286.1111111111111;158.33333333333334
320007;2016-08-02 16:00:00;477.77777777777777;333.3333333333333;144.44444444444446
320008;2016-08-02 17:00:00;275.0;150.0;125.0
320009;2016-08-02 18:00:00;319.44444444444446;169.44444444444446;150.0
320010;2016-08-02 19:00:00;127.77777777777779;66.66666666666667;61.111111111111114
320011;2016-08-02 20:00:00;16.666666666666668;0.0;16.666666666666668
320012;2016-08-02 21:00:00;0.0;0.0;0.0
320013;2016-08-02 22:00:00;0.0;0.0;0.0
320014;2016-08-02 23:00:00;0.0;0.0;0.0
320015;2016-08-03 00:00:00;0.0;0.0;0.0
320016;2016-08-03 01:00:00;0.0;0.0;0.0
320017;2016-08-03 02:00:00;0.0;0.0;0.0
320018;2016-08-03 03:00:00;0.0;0.0;0.0
320019;2016-08-03 04:00:00;0.0;0.0;0.0
320020;2016-08-03 05:00:00;5.555555555555555;0.0;5.555555555555555
320021;2016-08-03 06:00:00;13.88888888888889;0.0;13.88888888888889
320022;2016-08-03 07:00:00;25.0;0.0;25.0
320023;2016-08-03 08:00:00;41.66666666666667;0.0;41.66666666666667
320024;2016-08-03 09:00:00;58.333333333333336;0.0;58.333333333333336
320025;2016-08-03 10:00:00;144.44444444444446;2.7777777777777715;141.66666666666669
320026;2016-08-03 11:00:00;191.66666666666669;8.333333333333343;183.33333333333334
320027;2016-08-03 12:00:00;188.88888888888889;5.555555555555543;183.33333333333334
320028;2016-08-03 13:00:00;97.22222222222223;0.0;97.22222222222223
320029;2016-08-03 14:00:00;150.0;2.7777777777777715;147.22222222222223
320030;2016-08-03 15:00:00;155.55555555555557;2.7777777777778;152.77777777777777
320031;2016-08-03 16:00:00;127.77777777777779;2.7777777777777857;125.0
320032;2016-08-03 17:00:00;222.22222222222223;25.0;197.22222222222223
320033;2016-08-03 18:00:00;91.66666666666667;0.0;91.66666666666667
320034;2016-08-03 19:00:00;55.55555555555556;0.0;55.55555555555556
320035;2016-08-03 20:00:00;22.22222222222222;0.0;22.22222222222222
320036;2016-08-03 21:00:00;0.0;0.0;0.0
320037;2016-08-03 22:00:00;0.0;0.0;0.0
320038;2016-08-03 23:00:00;0.0;0.0;0.0
320039;2016-08-04 00:00:00;0.0;0.0;0.0
320040;2016-08-04 01:00:00;0.0;0.0;0.0
320041;2016-08-04 02:00:00;0.0;0.0;0.0
320042;2016-08-04 03:00:00;0.0;0.0;0.0
320043;2016-08-04 04:00:00;0.0;0.0;0.0
320044;2016-08-04 05:00:00;19.444444444444446;0.0;19.444444444444446
320045;2016-08-04 06:00:00;97.22222222222223;30.555555555555557;66.66666666666667
320046;2016-08-04 07:00:00;150.0;25.0;125.0
320047;2016-08-04 08:00:00;230.55555555555557;25.0;205.55555555555557
320048;2016-08-04 09:00:00;344.44444444444446;108.33333333333334;236.11111111111111
320049;2016-08-04 10:00:00;311.11111111111114;83.33333333333334;227.7777777777778
320050;2016-08-04 11:00:00;427.77777777777777;102.77777777777777;325.0
320051;2016-08-04 12:00:00;519.4444444444445;155.55555555555554;363.8888888888889
320052;2016-08-04 13:00:00;488.8888888888889;138.8888888888889;350.0
320053;2016-08-04 14:00:00;216.66666666666669;11.111111111111114;205.55555555555557
320054;2016-08-04 15:00:00;291.6666666666667;97.22222222222223;194.44444444444446
320055;2016-08-04 16:00:00;213.88888888888889;11.111111111111114;202.77777777777777
320056;2016-08-04 17:00:00;177.77777777777777;11.111111111111086;166.66666666666669
320057;2016-08-04 18:00:00;127.77777777777779;27.777777777777786;100.0
320058;2016-08-04 19:00:00;77.77777777777779;16.66666666666667;61.111111111111114
320059;2016-08-04 20:00:00;30.555555555555557;2.7777777777777786;27.77777777777778
320060;2016-08-04 21:00:00;0.0;0.0;0.0
320061;2016-08-04 22:00:00;0.0;0.0;0.0
320062;2016-08-04 23:00:00;0.0;0.0;0.0
320063;2016-08-05 00:00:00;0.0;0.0;0.0
320064;2016-08-05 01:00:00;0.0;0.0;0.0
320065;2016-08-05 02:00:00;0.0;0.0;0.0
320066;2016-08-05 03:00:00;0.0;0.0;0.0
320067;2016-08-05 04:00:00;0.0;0.0;0.0
320068;2016-08-05 05:00:00;11.11111111111111;0.0;11.11111111111111
320069;2016-08-05 06:00:00;80.55555555555556;11.111111111111114;69.44444444444444
320070;2016-08-05 07:00:00;108.33333333333334;8.333333333333343;100.0
320071;2016-08-05 08:00:00;166.66666666666669;33.33333333333334;133.33333333333334
320072;2016-08-05 09:00:00;266.6666666666667;72.22222222222223;194.44444444444446
320073;2016-08-05 10:00:00;336.11111111111114;113.88888888888891;222.22222222222223
320074;2016-08-05 11:00:00;441.6666666666667;169.44444444444446;272.22222222222223
320075;2016-08-05 12:00:00;461.11111111111114;225.00000000000003;236.11111111111111
320076;2016-08-05 13:00:00;519.4444444444445;191.66666666666669;327.77777777777777
320077;2016-08-05 14:00:00;352.77777777777777;38.88888888888886;313.8888888888889
320078;2016-08-05 15:00:00;513.8888888888889;269.44444444444446;244.44444444444446
320079;2016-08-05 16:00:00;488.8888888888889;344.44444444444446;144.44444444444446
320080;2016-08-05 17:00:00;288.8888888888889;141.66666666666669;147.22222222222223
320081;2016-08-05 18:00:00;141.66666666666669;16.666666666666686;125.0
320082;2016-08-05 19:00:00;58.333333333333336;5.555555555555557;52.77777777777778
320083;2016-08-05 20:00:00;11.11111111111111;0.0;11.11111111111111
320084;2016-08-05 21:00:00;0.0;0.0;0.0
320085;2016-08-05 22:00:00;0.0;0.0;0.0
320086;2016-08-05 23:00:00;0.0;0.0;0.0
320087;2016-08-06 00:00:00;0.0;0.0;0.0
320088;2016-08-06 01:00:00;0.0;0.0;0.0
320089;2016-08-06 02:00:00;0.0;0.0;0.0
320090;2016-08-06 03:00:00;0.0;0.0;0.0
320091;2016-08-06 04:00:00;0.0;0.0;0.0
320092;2016-08-06 05:00:00;11.11111111111111;0.0;11.11111111111111
