;Q_BHKW_1;Q_EHK_1;Q_GuD_1;Q_ab_HP_1;Q_ab_LT-HP_1;Q_ab_LT-HP_2;Q_SLK_1;Q_HT_EC;Q_HT_TES;Q_demand;Q_LT_EC;Q_zu_LT-HP_1;Q_zu_LT-HP_2;Q_LT_TES;Q_Sol;Q_ab_TES_1;Status_ab_TES_1;Q_zu_TES_1;Status_zu_TES_1;Q_ab_TES_1;Status_ab_TES_1;Speicherstand_TES_1;P_BHKW_1;P_zu_EHK_1;P_zu_HP_1;Status_HP_1;P_zu_LT-HP_1;P_zu_LT-HP_2;P_spot_market;P_GuD_1;P_source;Q_HT_node;Q_zu_TES_1;Status_zu_TES_1;Q_LT_node
2016-01-01 22:00:00;74.6506540790437;0.0;75.07189041599196;70.72233470491722;0.0;0.0;0.0;0.0;22.444879199952886;198.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.444879199952886;1.0;0.0;0.0;14409.705932765655;103.28079178875443;0.0;36.03446174;1.0;0.0;0.0;200.59736383385413;133.3510337850997;0.0;22.444879199952886;22.444879199952886;1.0;0.0
2016-01-01 23:00:00;0.0;0.0;75.07189041599196;71.62873206197739;33.29937752203067;0.0;0.0;1.4210854715202004e-14;0.0;180.0;0.0;25.46100527963998;0.0;0.0;0.0;25.46100527963998;1.0;0.0;0.0;25.46100527963998;1.0;14382.80395689274;0.0;0.0;35.58189366;1.0;7.838372242390688;0.0;89.93076788270902;133.3510337850997;0.0;0.0;0.0;0.0;0.0
2016-01-02 00:00:00;0.0;0.0;67.5061123358457;72.50446153167157;0.0;10.989426132482727;0.0;0.0;0.0;151.0;0.0;0.0;8.5;0.0;0.0;8.5;1.0;0.0;0.0;8.5;1.0;14372.865676497051;0.0;0.0;35.13662371;1.0;0.0;2.4894261324827287;77.1678037405783;114.79385358306102;1.4210854715202004e-14;0.0;0.0;0.0;0.0
2016-01-02 01:00:00;0.0;0.0;40.61003084880034;72.0724101279886;0.0;58.31755902321105;0.0;0.0;0.0;171.0;0.0;0.0;44.85155230675791;0.0;0.0;44.85155230675791;1.0;0.0;0.0;44.85155230675791;1.0;14326.576837622644;0.0;0.0;35.35770796;1.0;0.0;13.466006716453132;0.0;48.82371467645313;0.0;0.0;0.0;0.0;0.0
2016-01-02 02:00:00;0.0;39.048064972563246;51.02032411600073;72.93161091143602;0.0;0.0;0.0;0.0;0.0;163.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;-0.0;14325.14417993888;0.0;39.44248987127601;34.9153716;1.0;0.0;0.0;0.0;74.35786147127601;0.0;0.0;0.0;0.0;0.0
2016-01-02 03:00:00;0.0;0.0;40.18379620601282;72.93161091143602;0.0;57.88459288255115;0.0;7.105427357601002e-15;0.0;171.0;0.0;0.0;45.0217091086007;0.0;0.0;45.0217091086007;1.0;0.0;0.0;45.0217091086007;1.0;14278.689956412285;0.0;0.0;34.9153716;1.0;0.0;12.862883773950456;1.7763568394002505e-15;47.77825537395046;0.0;0.0;0.0;0.0;0.0
2016-01-02 04:00:00;0.0;0.0;41.57933970941426;72.50446153167157;70.91619875891418;0.0;0.0;0.0;0.0;185.0;0.0;54.851607552922225;0.0;0.0;0.0;54.851607552922225;1.0;0.0;0.0;54.851607552922225;1.0;14222.410479863722;0.0;0.0;35.13662371;1.0;16.064591205991952;0.0;0.0;51.201214915991955;0.0;0.0;0.0;0.0;0.0
2016-01-02 05:00:00;0.0;0.0;42.17117331722643;72.50446153167157;0.0;77.324365151102;0.0;4.263256414560601e-14;0.0;191.99999999999997;0.0;0.0;59.8081370092325;0.0;0.0;59.808137009232496;1.0;0.0;0.0;59.808137009232496;1.0;14161.180101806502;0.0;0.0;35.13662371;1.0;0.0;17.516228141869508;3.552713678800501e-15;52.652851851869514;0.0;0.0;0.0;0.0;0.0
2016-01-02 06:00:00;0.0;0.0;43.63162318211014;71.62873206197739;87.73964475591247;0.0;0.0;0.0;0.0;203.0;0.0;67.08652607352984;0.0;0.0;0.0;67.08652607352984;1.0;0.0;0.0;67.08652607352984;1.0;14092.677457722793;0.0;0.0;35.58189366;1.0;20.653118682382637;0.0;0.0;56.23501234238263;0.0;0.0;0.0;0.0;0.0
2016-01-02 07:00:00;0.0;0.0;45.03267132493345;71.62873206197739;0.0;102.33859661308915;0.0;0.0;0.0;219.0;0.0;0.0;78.24901672570098;0.0;0.0;78.24901672570098;1.0;0.0;0.0;78.24901672570098;1.0;14013.019173251321;0.0;0.0;35.58189366;1.0;0.0;24.08957988738817;0.0;59.67147354738816;7.105427357601002e-15;0.0;0.0;0.0;0.0
