;Q_in,BHKW;Q_in,SLK;P_out;P_in
2016-01-10 10:00:00;26.7007197585;1.38582540051;8.4696969697;0.0
2016-01-10 11:00:00;39.0;0.0;16.9733415023;0.0
2016-01-10 12:00:00;39.0;0.0;17.3268768559;0.0
2016-01-10 13:00:00;28.9662472892;0.0;9.65579605916;0.0
2016-01-10 14:00:00;26.7007197585;0.419916309602;8.4696969697;0.0
2016-01-10 15:00:00;36.4628314448;0.0;16.6108766615;0.0
2016-01-10 16:00:00;37.7427360568;0.0;17.2809606372;0.0
2016-01-10 17:00:00;38.6569536367;0.0;17.7595920485;0.0
2016-01-10 18:00:00;39.0;0.266978715041;17.9391912692;0.0
2016-01-10 19:00:00;39.0;0.0;17.9391912692;0.0
2016-01-10 20:00:00;39.0;0.0;17.9391912692;0.0
2016-01-10 21:00:00;39.0;0.0;17.9391912692;0.0
2016-01-10 22:00:00;39.0;0.0;17.9391912692;0.0
2016-01-10 23:00:00;28.5228517629;0.0;12.453962855;0.0
2016-01-11 00:00:00;27.2429471509;0.0;11.7838788793;0.0
2016-01-11 01:00:00;26.7007197585;0.0;11.1267410581;0.0
2016-01-11 02:00:00;26.7007197585;0.0;10.4701754016;0.0
2016-01-11 03:00:00;26.7007197585;0.0;9.7631046945;0.0
2016-01-11 04:00:00;26.7007197585;0.0;9.12800368439;0.0
2016-01-11 05:00:00;37.6650275625;0.0;17.2402769673;0.0
2016-01-11 06:00:00;39.0;0.0;17.9391912692;0.0
2016-01-11 07:00:00;39.0;0.291126442314;17.9391912692;0.0
2016-01-11 08:00:00;39.0;0.0;17.9391912692;0.0
2016-01-11 09:00:00;39.0;0.0;17.9391912692;0.0
2016-01-11 10:00:00;39.0;0.0;17.9391912692;0.0
2016-01-11 11:00:00;39.0;0.0;17.9391912692;0.0
2016-01-11 12:00:00;39.0;0.0;17.9391912692;0.0
2016-01-11 13:00:00;39.0;0.12067189686;17.9391912692;0.0
2016-01-11 14:00:00;39.0;0.266978715041;17.9391912692;0.0
2016-01-11 15:00:00;39.0;0.0;17.9391912692;0.0
2016-01-11 16:00:00;39.0;0.0;17.9391912692;0.0
2016-01-11 17:00:00;39.0;0.40476280595;17.9391912692;0.0
2016-01-11 18:00:00;39.0;0.802490078678;17.9391912692;0.0
2016-01-11 19:00:00;39.0;0.916126442314;17.9391912692;0.0
2016-01-11 20:00:00;39.0;0.266978715041;17.9391912692;0.0
2016-01-11 21:00:00;39.0;0.0;17.9391912692;0.0
2016-01-11 22:00:00;39.0;0.0;17.9391912692;0.0
2016-01-11 23:00:00;39.0;0.0;17.9391912692;0.0
2016-01-12 00:00:00;31.526056513;0.0;14.0262670409;0.0
2016-01-12 01:00:00;26.7007197585;0.0;11.1772461086;0.0
2016-01-12 02:00:00;26.7007197585;0.0;10.7946703511;0.0
2016-01-12 03:00:00;26.7007197585;0.0;8.4696969697;0.0
2016-01-12 04:00:00;26.7007197585;0.0;8.4696969697;0.0
2016-01-12 05:00:00;26.7007197585;0.0;9.7631046945;0.0
2016-01-12 06:00:00;39.0;0.0;17.9391912692;0.0
2016-01-12 07:00:00;39.0;0.0;17.9391912692;0.0
2016-01-12 08:00:00;39.0;0.0;17.9391912692;0.0
2016-01-12 09:00:00;39.0;0.0;17.9391912692;0.0
2016-01-12 10:00:00;39.0;0.0;17.9391912692;0.0
2016-01-12 11:00:00;39.0;0.0638537150413;17.9391912692;0.0
2016-01-12 12:00:00;39.0;0.0;17.9391912692;0.0
2016-01-12 13:00:00;39.0;0.0;17.9391912692;0.0
2016-01-12 14:00:00;39.0;0.0;17.9391912692;0.0
2016-01-12 15:00:00;39.0;0.323796896859;17.9391912692;0.0
