solar_data;heat_demand;el_spot_price;ambient_temperature;el_price;cop_lthp;P_max_hp;P_min_hp;c_1_hp;c_0_hp
0;324;41.74;-2.956;127.25;3.208819879;39.1286671;14.08561017;2.130766787;-19.82069312
0;296;36.47;-2.963;121.98;3.321698432;38.72151659;13.92128809;2.172277787;-19.41641001
0;287;33.01;-2.983;118.52;3.437878394;38.30894517;13.76191425;2.214255697;-19.0273653
0;277;31.75;-3.06;117.26;3.497435869;38.10234042;13.68500325;2.235276827;-18.83868648
0;257;26.99;-3.19;112.5;3.558072711;37.88949053;13.61026561;2.256834492;-18.66212237
0;251;26.62;-3.363;112.13;3.558072711;37.88949053;13.61026561;2.256834492;-18.66212237
0;264;25.58;-3.628;111.09;3.497435869;38.10234042;13.68500325;2.235276827;-18.83868648
0;269;24.59;-3.834;110.1;3.437878394;38.30894517;13.76191425;2.214255697;-19.0273653
0;274;22.5;-3.862;108.01;3.321698432;38.72151659;13.92128809;2.172277787;-19.41641001
0;283;23.16;-3.844;108.67;3.208819879;39.1286671;14.08561017;2.130766787;-19.82069312
0;291;24.99;-3.81;110.5;3.151595748;39.32995618;14.16601647;2.10982145;-20.01621569
0;306;26.62;-3.708;112.13;3.094989216;39.52954175;21.4850665;2.067876025;-19.38329015
0;311;28.03;-3.61;113.54;3.151595748;39.32995618;14.16601647;2.10982145;-20.01621569
0;321;29.34;-3.273;114.85;3.151595748;39.32995618;14.16601647;2.10982145;-20.01621569
0;321;32.94;-2.727;118.45;3.208819879;39.1286671;14.08561017;2.130766787;-19.82069312
0;325;37.71;-2.24;123.22;3.208819879;39.1286671;14.08561017;2.130766787;-19.82069312
9.05E-05;321;40.08;-1.888;125.59;3.208819879;39.1286671;14.08561017;2.130766787;-19.82069312
0.000189877;307;40.73;-1.717;126.24;3.264889148;38.92580238;14.00402849;2.151580439;-19.62077296
0.000235613;307;38.26;-1.803;123.77;3.264889148;38.92580238;14.00402849;2.151580439;-19.62077296
0.000238199;302;35.44;-2.284;120.95;3.264889148;38.92580238;14.00402849;2.151580439;-19.62077296
0.000136294;305;36.92;-2.733;122.43;3.321698432;38.72151659;13.92128809;2.172277787;-19.41641001
0;323;41.28;-2.773;126.79;3.208819879;39.1286671;14.08561017;2.130766787;-19.82069312
0;308;44.95;-2.746;130.46;3.37932832;38.51587189;13.83798956;2.192930293;-19.20964587
0;322;46.9;-2.802;132.41;3.264889148;38.92580238;14.00402849;2.151580439;-19.62077296
0;322;43.95;-2.857;129.46;3.321698432;38.72151659;13.92128809;2.172277787;-19.41641001
0;305;39.94;-3.011;125.45;3.437878394;38.30894517;13.76191425;2.214255697;-19.0273653
0;272;32.4;-3.239;117.91;3.558072711;37.88949053;13.61026561;2.256834492;-18.66212237
0;273;33.51;-3.441;119.02;3.558072711;37.88949053;13.61026561;2.256834492;-18.66212237
0;265;30.11;-3.584;115.62;3.558072711;37.88949053;13.61026561;2.256834492;-18.66212237
0;254;26.41;-3.761;111.92;3.558072711;37.88949053;13.61026561;2.256834492;-18.66212237
0;250;26.05;-3.806;111.56;3.558072711;37.88949053;13.61026561;2.256834492;-18.66212237
0;268;24.93;-3.848;110.44;3.437878394;38.30894517;13.76191425;2.214255697;-19.0273653
